Attribute:Level,Estimate,P value
businessparking_street: yes,0.432929727396891,5.21507899239695e-09
restaurantsattire: new_level,0.418295380376581,5.52422894335828e-08
noiselevel: very_loud,-0.600277565915314,9.29912505558545e-06
drivethru: yes,-0.638242711804144,1.20225414473486e-05
goodformeal_dinner: yes,0.21945561616032,0.000177067528923747
businessparking_street: none,0.237468173972174,0.000198095480424024
goodformeal_dinner: none,0.169498822289555,0.00115014574817352
noiselevel: quiet,0.175700323453386,0.00152928818433907
bikeparking: yes,0.175584211857345,0.00163729345448325
restaurantstableservice: none,0.19266249057996,0.00432717443913137
caters: none,-0.148186186615312,0.00730302706230674
businessacceptscreditcards: yes,-0.261104109209109,0.0121314528753699
outdoorseating: yes,0.187348840468502,0.0187343104144548
wheelchairaccessible: yes,0.173484769613721,0.0208775341566135
restaurantspricerange2: 2,-0.104213743820915,0.0223773704949245
outdoorseating: none,0.171052209450532,0.0245066164948415
wifi: paid,-0.507315301260667,0.0285483561800539
noiselevel: loud,-0.158573787417054,0.0385969266560518
alcohol: none,-0.125844734113223,0.0422683777251496
